[2025-07-17 19:07:29.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:30.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:31.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:32.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:33.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:34.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:35.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:36.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:37.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:38.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:39.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:40.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:41.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:42.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:43.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:44.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:45.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:46.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:47.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:48.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:49.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:50.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:51.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:52.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:53.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:54.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:55.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:56.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:57.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:58.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:59.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:00.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:01.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:02.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:03.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:04.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:05.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:06.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:07.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:08.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:09.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:10.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:11.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:12.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:13.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:14.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:15.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:16.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:17.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:18.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:19.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:20.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:21.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:22.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:23.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:24.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:25.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:26.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:27.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:28.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:29.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:30.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:31.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:32.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:08:33.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:07.477] [info]  DiscordSplash.signalReady
[2025-07-17 19:09:07.501] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates"}
[2025-07-17 19:09:07.502] [info]  Splash.onStateUpdate: {"status":"checking-for-updates"}
[2025-07-17 19:09:07.688] [info]  DiscordSplash.onStateUpdate: {"status":"update-manually","newVersion":"0.0.102"}
[2025-07-17 19:09:07.688] [info]  Splash.onStateUpdate: {"status":"update-manually","newVersion":"0.0.102"}
[2025-07-17 19:09:08.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:09.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:10.477] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:11.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:12.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:13.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:14.477] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:15.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:16.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:25.304] [info]  DiscordSplash.signalReady
[2025-07-17 19:09:25.311] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates"}
[2025-07-17 19:09:25.311] [info]  Splash.onStateUpdate: {"status":"checking-for-updates"}
[2025-07-17 19:09:25.558] [info]  DiscordSplash.onStateUpdate: {"status":"update-manually","newVersion":"0.0.102"}
[2025-07-17 19:09:25.558] [info]  Splash.onStateUpdate: {"status":"update-manually","newVersion":"0.0.102"}
[2025-07-17 19:09:26.304] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:27.304] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:28.304] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:29.303] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:30.304] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:31.304] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:32.303] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:33.304] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:09:34.304] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:14:45.439] [info]  DiscordSplash.signalReady
[2025-07-17 19:14:45.453] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-17 19:14:45.454] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-17 19:14:45.454] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-17 19:14:45.454] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-17 19:14:45.454] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-17 19:14:45.455] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-17 19:14:45.455] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-17 19:14:45.455] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-17 19:14:45.455] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-17 19:14:45.455] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-17 19:14:45.455] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-17 19:14:45.455] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-17 19:14:45.456] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-17 19:14:45.456] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-17 19:14:45.682] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-17 19:14:45.683] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-17 19:14:45.934] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-07-17 19:14:45.934] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-07-17 19:14:45.943] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-07-17 19:14:45.944] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-07-17 19:14:45.948] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-07-17 19:14:45.948] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-07-17 19:14:45.953] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-07-17 19:14:45.953] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-07-17 19:14:45.960] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
